home_team,away_team,home_elo,away_elo,elo_diff,result
Scotland,England,1500.0,1500.0,0.0,0
England,Scotland,1500.0,1500.0,0.0,1
Scotland,England,1490.0,1510.0,-20.0,1
England,Scotland,1499.4249887221547,1500.5750112778453,-1.1500225556906116,0
Scotland,England,1500.5419110888138,1499.4580889111862,1.0838221776275532,1
Scotland,Wales,1510.5107162801307,1500.0,10.510716280130737,1
England,Scotland,1489.4892837198693,1520.208285803172,-30.719002083302712,-1
Wales,Scotland,1490.3024304769588,1529.3264186398637,-39.02398816290497,-1
Scotland,England,1538.2079176150808,1480.3711508831775,57.83676673190325,1
Scotland,Wales,1546.5584499656036,1481.4209315017417,65.13751846386185,1
England,Wales,1472.0206185326547,1473.2740785659287,-1.2534600332739956,1
England,Scotland,1482.0566958559702,1554.7053029014166,-72.6486070454464,1
Wales,Scotland,1463.238001242613,1542.6442587828014,-79.40625754018834,-1
Scotland,England,1550.3977429507918,1494.1177399745854,56.28000297620633,1
Wales,England,1455.4845170746228,1485.723587505152,-30.239070430529182,-1
Scotland,Wales,1558.7918954202253,1446.3526764599444,112.43921896028087,1
England,Wales,1494.8554281198303,1439.4804960479219,55.37493207190846,-1
England,Scotland,1483.2749694229399,1565.6640758322478,-82.38910640930794,-1
Wales,Scotland,1451.0609547448123,1573.3361985026079,-122.27524375779558,-1
Northern Ireland,England,1500.0,1475.6028467525798,24.397153247420192,-1
Wales,Northern Ireland,1444.441872351669,1489.298945390206,-44.85707303853701,1
Scotland,England,1579.9552808957512,1486.3039013623738,93.6513795333774,1
Wales,England,1455.7258364198606,1478.9359651082682,-23.21012868840762,1
Scotland,Wales,1587.3232171498569,1466.3928856187422,120.93033153111469,1
England,Wales,1468.2689159093866,1459.7394735335954,8.529442375791177,1
England,Northern Ireland,1478.0234681310724,1478.0149813220144,0.008486809058013023,1
England,Scotland,1488.0232238610722,1593.9766292350037,-105.95340537393145,-1
Wales,Scotland,1449.9849213119096,1601.0181926447563,-151.03327133284665,-1
